"lat_grid","lon_grid","year","month","id","chlamean","chlasd","sstmean","sstsd","slamean","slasd","FSLEmean","FSLEsd","SSCImean","SSCIsd","micronec_epi","micronec_episd","NumOBS","threshold","Zone"
-4,62,2014,1,"-4 _ 62",0.102315680272619,0.008323575882014,28.801578125,0.167175110614968,-0.013484375,0.0117418018512614,-0.0360348923775217,0.026292736773561,0.207076402904942,0.14910309925328,0.358471590326264,NA,3,"Random","WIO"
-12,68,2014,1,"-12 _ 68",0.053804870529954,0.00711411101145307,29.410375,0.136443197088554,0.163725,0.0159577219204023,-0.0480334806449952,0.0297166179559839,0.167316017354817,0.0780911577151512,0.345350691802486,NA,0,"Random","WIO"
-6,70,2014,1,"-6 _ 70",0.0832466025248222,0.0176375130405087,28.649671875,0.180283115504783,0.0210609375,0.0092237205795365,-0.0484152755460912,0.0307220125911451,0.0708512684822178,0.0267810808266914,0.308911831805675,NA,0,"Random","WIO"
8,66,2014,1,"8 _ 66",0.156850417668466,0.0370069322861851,27.56834375,0.34215480663926,0.0230546875,0.031069103366975,-0.0334453863266014,0.0180266695565925,0.204304670971197,0.0301173606103587,0.449533745127406,NA,0,"Random","WIO"
-12,66,2014,1,"-12 _ 66",0.0568771043730926,0.00602328615742654,29.608921875,0.0960514585443244,0.1181125,0.0195062261122662,-0.0457386894987956,0.0282513955030966,0.199648235729995,0.0798487902397775,0.355957270417977,NA,0,"Random","WIO"
-12,52,2014,1,"-12 _ 52",0.0590900148122778,0.0136695847590098,28.880578125,0.267054646609629,0.1214484375,0.035608724596103,-0.061958146757272,0.0404115923328599,0.303840054596186,0.0324460867283972,0.333523240339305,NA,1,"Random","WIO"
6,56,2014,1,"6 _ 56",0.210236533958879,0.00766529333963485,26.9275625,0.0881428989477919,-0.0396796875,0.0220395904931816,-0.0510456264058188,0.0263217652540924,0.0716209774710339,0.0314321838677862,0.385940989906696,NA,0,"Random","WIO"
-12,62,2014,1,"-12 _ 62",0.0536469685838609,0.0208054280691205,29.60565625,0.111102586478543,0.097321875,0.00729991234454875,-0.0370452134917821,0.0278846575687365,0.170118376387546,0.0386137225745332,0.272679616372088,NA,0,"Random","WIO"
0,62,2014,1,"0 _ 62",0.0973217990120045,0.00759115503161008,28.735046875,0.1243042133252,-0.002234375,0.00346598980342706,-0.0264134658225121,0.0152284269043384,0.0854670447025916,0.0602022508237572,0.210576831978599,NA,0,"Random","WIO"
-4,54,2014,1,"-4 _ 54",0.0935011031979229,0.00896869014948573,28.337375,0.121409643716229,0.004096875,0.0077908975938245,-0.0455259025847239,0.0206587545606854,0.206954217853757,0.106406073761668,0.353821016046532,NA,1,"Random","WIO"
-10,52,2014,1,"-10 _ 52",0.0918734366391113,0.0132859190857537,28.48565625,0.138082816046391,0.0384421875,0.0184141233295542,-0.0597772388776704,0.0389915898373704,0.160827643093022,0.0323941572963293,0.383337257740398,NA,1,"Random","WIO"
-18,58,2014,1,"-18 _ 58",0.0492992584808639,0.0335825687117824,28.59346875,0.139315670872998,0.1832109375,0.0102296040542703,-0.0504930461174778,0.0346219892793903,0.0991711041607611,0.0570677534345604,0.386015923521031,NA,0,"Random","WIO"
0,56,2014,1,"0 _ 56",0.168319266683991,0.0173669991072676,27.407875,0.26706972515663,-0.0255078125,0.00797413088636355,-0.0318257055234525,0.0236383936541603,0.140679913975423,0.103426176067727,0.323221073293137,NA,2,"Random","WIO"
10,62,2014,1,"10 _ 62",0.287089781699857,0.0405364682204324,26.350453125,0.314345070208971,-0.0163078125,0.00945687462529622,-0.0458560629035436,0.0226503183284579,0.070019529718652,0.0359364494873416,0.558215643075632,NA,0,"Random","WIO"
-14,52,2014,1,"-14 _ 52",0.0438022470221363,0.00306044634377797,29.00384375,0.189220558192965,0.2308078125,0.0242937205596622,-0.0487914970707269,0.0320087204342441,0.257798585024916,0.0886199242875163,0.292648971169239,NA,1,"Random","WIO"
-14,66,2014,1,"-14 _ 66",0.0497529313805798,0.00345219390702534,29.382875,0.113564819614035,0.0907484375,0.0193637690823713,-0.0447602300406944,0.0276861547007166,0.123094366236067,0.0604719176672353,0.355942548633183,NA,0,"Random","WIO"
14,66,2014,1,"14 _ 66",0.454069038723699,0.13236508461053,25.5233125,0.281651584549715,-0.0160890625,0.0156123386002053,-0.0368634622975463,0.0220113247520682,0.0794885951424818,0.050886903467719,0.602520367310893,NA,0,"Random","WIO"
4,54,2014,1,"4 _ 54",0.22239307862603,0.0149311403205649,26.83203125,0.0639900708443634,-0.0267765625,0.00966260575107945,-0.0608141289155089,0.0328962644806438,0.0802546363994924,0.021672297264223,0.482036905016042,NA,0,"Random","WIO"
0,64,2014,1,"0 _ 64",0.10315350239398,0.00787742113825532,28.79853125,0.0874223408208859,0.0066296875,0.00461604103333458,-0.0240134777869188,0.0154659114302877,0.0917290452099768,0.0601087724299749,0.204230707299422,NA,0,"Random","WIO"
4,56,2014,1,"4 _ 56",0.205699007311422,0.012007481448301,26.956578125,0.081079777426555,-0.0431828125,0.0199786994086083,-0.0579876100639182,0.0334942902746687,0.114130298467705,0.0479809152183564,0.424781007712246,NA,0,"Random","WIO"
6,52,2014,1,"6 _ 52",0.247001254892287,0.0125265144674819,26.4906875,0.10879569829848,-0.1188,0.0114105492821614,-0.0797363035668289,0.0620103033965729,0.0719776904050635,0.0330443601251268,0.517963755388467,NA,0,"Random","WIO"
-6,52,2014,1,"-6 _ 52",0.10727130791444,0.0261014103227215,28.32740625,0.165996243861692,0.001065625,0.0127201904092517,-0.043453121924857,0.0212248918766672,0.11405026020063,0.0216459393467466,0.416034806958703,NA,1,"Random","WIO"
6,62,2014,1,"6 _ 62",0.1418895436121,0.0136193858340726,27.880734375,0.110352284689132,0.02535625,0.0203439618981723,-0.0403018596935897,0.0232780606692871,0.144666189295991,0.0248309826860943,0.438255357851465,NA,0,"Random","WIO"
0,50,2014,1,"0 _ 50",0.231848741260668,0.0209972520351869,26.4185,0.169787448822867,-0.0069921875,0.00791693592900487,-0.0518518276348229,0.031249401732988,0.0498137863221352,0.0340024621667244,0.338276657855846,NA,0,"Random","WIO"
-18,54,2014,1,"-18 _ 54",0.0397912794384562,0.00245239446455579,28.413046875,0.154041267371998,0.2479890625,0.0160465505088828,-0.0478335768059377,0.0336031077112442,0.133557885842081,0.030472374239054,0.428019227665318,NA,1,"Random","WIO"
