"lat_grid","lon_grid","year","month","id","chlamean","chlasd","sstmean","sstsd","slamean","slasd","FSLEmean","FSLEsd","SSCImean","SSCIsd","micronec_epi","micronec_episd","NumOBS","threshold","Zone"
-2,82,2014,1,"-2 _ 82",0.0906357358843606,0.00410555033835845,28.79771875,0.121333394655924,-0.010803125,0.0105726957225331,-0.0198566688047301,0.0177691656686728,0.0411229039510126,0.0206582291995649,0.16509172592711,NA,0,"Random","Above_10S"
-8,60,2014,1,"-8 _ 60",0.101121408628791,0.0102551539933482,28.65315625,0.160263792339133,-0.0248265625,0.0204001730632832,-0.0422451767286947,0.0266252763057003,0.133615655030868,0.063405827027177,0.390415363892492,NA,0,"Random","Above_10S"
12,66,2014,1,"12 _ 66",0.28187518334663,0.0545969647323694,26.27653125,0.184666492070572,-0.0343625,0.0074041708537652,-0.0315637854046639,0.0173890281999529,0.0507652476194411,0.0223166023274285,0.538554602679813,NA,0,"Random","Above_10S"
-16,56,2014,1,"-16 _ 56",0.0398796004042702,0.00180454702059476,28.873609375,0.249552336794515,0.1699671875,0.0220844702649831,-0.057094125929571,0.0380339422349969,0.136654177459755,0.0582259815048846,0.417614496025961,NA,3,"Random","Moz"
6,56,2014,1,"6 _ 56",0.210236533958879,0.00766529333963485,26.9275625,0.0881428989477919,-0.0396796875,0.0220395904931816,-0.0510456264058188,0.0263217652540924,0.0716209774710339,0.0314321838677862,0.385940989906696,NA,0,"Random","Above_10S"
-10,50,2014,1,"-10 _ 50",0.137261065670625,0.139304132946009,28.244671875,0.114406412114603,0.014959375,0.00798877622886764,-0.0527900582306568,0.031083881774893,0.117544476091887,0.0497423445459032,0.385128412964023,NA,1,"Random","Above_10S"
12,62,2014,1,"12 _ 62",0.342962382898097,0.0569771170336307,25.72271875,0.262798762333705,-0.02438125,0.00635299891689706,-0.0465731469018084,0.0218640078835803,0.0379070079468215,0.0150648123096402,0.622121626008836,NA,0,"Random","Above_10S"
-6,52,2014,1,"-6 _ 52",0.10727130791444,0.0261014103227215,28.32740625,0.165996243861692,0.001065625,0.0127201904092517,-0.043453121924857,0.0212248918766672,0.11405026020063,0.0216459393467466,0.416034806958703,NA,1,"Random","Above_10S"
10,62,2014,1,"10 _ 62",0.287089781699857,0.0405364682204324,26.350453125,0.314345070208971,-0.0163078125,0.00945687462529622,-0.0458560629035436,0.0226503183284579,0.070019529718652,0.0359364494873416,0.558215643075632,NA,0,"Random","Above_10S"
-12,52,2014,1,"-12 _ 52",0.0590900148122778,0.0136695847590098,28.880578125,0.267054646609629,0.1214484375,0.035608724596103,-0.061958146757272,0.0404115923328599,0.303840054596186,0.0324460867283972,0.333523240339305,NA,1,"Random","Moz"
-4,46,2014,1,"-4 _ 46",0.129472423364253,0.0327973431542023,27.714859375,0.342123057188375,-0.0083578125,0.010608708682059,-0.0607956491046856,0.0340850448489498,0.117733002405523,0.0499522262645104,0.67905447743566,NA,0,"Random","Above_10S"
-6,70,2014,1,"-6 _ 70",0.0832466025248222,0.0176375130405087,28.649671875,0.180283115504783,0.0210609375,0.0092237205795365,-0.0484152755460912,0.0307220125911451,0.0708512684822178,0.0267810808266914,0.308911831805675,NA,0,"Random","Above_10S"
6,66,2014,1,"6 _ 66",0.134900937096164,0.00676814959439128,28.078234375,0.0740396166342666,0.10114375,0.013960612109653,-0.0408859632104876,0.0272977541721615,0.117644842938902,0.0314834850918701,0.380950563682383,NA,0,"Random","Above_10S"
10,56,2014,1,"10 _ 56",0.318375867532773,0.0859981619683591,25.478609375,0.290613342486798,-0.0541515625,0.0493709348085394,-0.0791053698636832,0.0709501703981444,0.211208888323039,0.0772920201197559,0.886648661557144,NA,0,"Random","Above_10S"
-8,62,2014,1,"-8 _ 62",0.104924667975865,0.0071302603503299,28.68159375,0.129852629380937,-0.014953125,0.0145819955168683,-0.0435303150209448,0.0264181687109982,0.107957511315604,0.0196901587031724,0.392516631031355,NA,0,"Random","Above_10S"
14,62,2014,1,"14 _ 62",0.413358807085185,0.0678972347864973,25.22259375,0.152171344396886,-0.020371875,0.0190592099034261,-0.0529225255683786,0.0334159702976758,0.095869043869881,0.0476198723621132,0.768746721007491,NA,0,"Random","Above_10S"
12,64,2014,1,"12 _ 64",0.414575481981349,0.124978086621488,25.888578125,0.149616738377689,-0.0224,0.00804078887387834,-0.0385646750640725,0.0197138685758411,0.055887210018566,0.02498306232764,0.602867548974852,NA,0,"Random","Above_10S"
0,62,2014,1,"0 _ 62",0.0973217990120045,0.00759115503161008,28.735046875,0.1243042133252,-0.002234375,0.00346598980342706,-0.0264134658225121,0.0152284269043384,0.0854670447025916,0.0602022508237572,0.210576831978599,NA,0,"Random","Above_10S"
2,54,2014,1,"2 _ 54",0.202137435572998,0.0163884022842533,26.889890625,0.0651155547182839,-0.031653125,0.00744829731794508,-0.0493365363354644,0.0333130627746104,0.0914874944331001,0.0344771502870329,0.345941237576212,NA,0,"Random","Above_10S"
